"mirna","log2FC","avg_expr","t_stat","p_value","fdr","B_stat","significant"
"hsa-miR-940",0.337578321564777,8.7093058253552,11.7114758460218,3.55001692748838e-31,9.77151123980387e-31,58.9494225863297,FALSE
"hsa-miR-1227-5p",-0.47502936252314,11.2012759342924,-11.6292706779324,9.0396452549399e-31,2.47332585038927e-30,58.461386336229,FALSE
"hsa-miR-4472",0.486257520844272,8.03500899519369,11.6289123873456,9.07642513904321e-31,2.47332585038927e-30,58.1445414012312,FALSE
"hsa-miR-6729-5p",-0.961381982475032,12.9679416213023,-11.6126919564446,1.090677860247e-30,2.95731061609261e-30,58.6066533361307,TRUE
"hsa-miR-3610",-0.327216604476323,8.29321672178909,-11.5984418256248,1.28145229585083e-30,3.45738366949852e-30,57.8679544066606,FALSE
"hsa-miR-6857-5p",0.67459493279887,7.63114472138888,11.5453340999808,2.33294665128994e-30,6.26332967957152e-30,57.2831952838614,TRUE
"hsa-miR-4436b-5p",-0.396818818502604,8.26965425064088,-11.4818480441632,4.75895735909133e-30,1.27138811799254e-29,56.5922599199669,FALSE
"hsa-miR-3937",-0.452749548182707,9.81341809154229,-11.4803822908535,4.83772716321312e-30,1.28612746534203e-29,56.4758172640997,FALSE
"hsa-miR-6766-5p",0.258852701279201,8.58931804841734,11.416225707266,9.90563606686609e-30,2.62066585264176e-29,55.6740702571266,FALSE
"hsa-miR-92a-3p",-0.430780288070934,8.25307694555992,-11.3382513735211,2.35499670106267e-29,6.20035363323264e-29,54.9772320636006,FALSE
"hsa-miR-6877-5p",0.432688370671865,8.87422961287736,11.2780763401411,4.57737632293679e-29,1.19936062307719e-28,54.1167038616559,FALSE
"hsa-miR-6824-5p",-0.370652018499788,9.03094987336283,-11.2702994517797,4.98671494513046e-29,1.30036346655316e-28,54.1117478878385,FALSE
"hsa-miR-1237-3p",0.302248961458478,8.45991805625687,11.23715370769,7.17942038292384e-29,1.86323052794928e-28,53.7199721735665,FALSE
"hsa-miR-3663-3p",0.77971727826866,12.4699943527239,11.2255726067429,8.15246560779191e-29,2.10573163803156e-28,54.3359074357009,TRUE
"hsa-miR-4515",0.346013311158384,8.18998584895878,11.1534998739888,1.7932069514039e-28,4.60989522884495e-28,52.8712092461495,FALSE
"hsa-miR-7108-3p",0.381428340754075,8.23787321878494,11.1230602299334,2.49807025833731e-28,6.3917760131166e-28,52.5193345062708,FALSE
"hsa-miR-4758-3p",0.258100356129454,8.54752607804865,11.0475755452477,5.6632221961407e-28,1.44226920415733e-27,51.6589490839804,FALSE
