"mirna","log2FC","logCPM","p_value","fdr","significant"
"hsa-miR-4433b-3p",0.304833132422657,9.58728072482069,3.29127126679553e-09,4.92432894717331e-09,FALSE
"hsa-miR-6857-5p",0.231763879375064,8.23609444597896,3.2979450747124e-09,4.92432894717331e-09,FALSE
"hsa-miR-4646-3p",0.16121415467923,8.1911993743045,3.78247803551393e-09,5.63237849550572e-09,FALSE
"hsa-miR-4688",-0.149053864505553,9.37719387559683,3.96489588119777e-09,5.88792440123374e-09,FALSE
"hsa-miR-7851-3p",0.160321382062617,8.50035303635498,4.54937244617053e-09,6.73752169337756e-09,FALSE
"hsa-miR-6893-3p",0.12334177419698,8.46690928238914,6.62573778231361e-09,9.78598127740086e-09,FALSE
"hsa-miR-6792-5p",0.127715191700657,8.78580394236289,7.45544488561232e-09,1.09816688179965e-08,FALSE
"hsa-miR-1469",0.378984723492186,12.2462126611648,1.00529740917934e-08,1.47678460378097e-08,FALSE
"hsa-miR-6127",0.127039719233004,8.34630895763714,1.2497006335989e-08,1.8308786164285e-08,FALSE
"hsa-miR-4726-5p",0.125234672024377,9.15804399627914,1.66529459527976e-08,2.43320523975193e-08,FALSE
"hsa-miR-6726-3p",-0.164181602482703,8.3190744803247,1.88782768362505e-08,2.75097884378516e-08,FALSE
"hsa-miR-3619-3p",-0.181629384145989,9.51979044754792,2.19419575500043e-08,3.18889783060062e-08,FALSE
"hsa-miR-4722-5p",-0.132489046368812,8.92708653523126,2.95003037420624e-08,4.27597487750639e-08,FALSE
"hsa-miR-6798-3p",0.154889533407145,8.31632650389381,2.96954172525124e-08,4.292838833586e-08,FALSE
"hsa-miR-3194-5p",0.142266005550025,8.3424722871726,3.14390075797201e-08,4.53287278596494e-08,FALSE
"hsa-miR-7704",-0.489837530014782,14.0966209527118,3.67822033163016e-08,5.2892614267505e-08,FALSE
"hsa-miR-4327",0.199074870834662,10.552514034648,4.25788727449771e-08,6.10670674895066e-08,FALSE
"hsa-miR-744-5p",0.189685166393935,10.2176816688158,5.73421222276752e-08,8.20248205094041e-08,FALSE
"hsa-miR-24-3p",-0.153066469078283,8.53940458925739,7.52645305683689e-08,1.07380023978432e-07,FALSE
"hsa-miR-6797-3p",0.129115509075733,8.31990930274701,7.6782022522039e-08,1.0925901377157e-07,FALSE
"hsa-miR-6861-5p",0.135890685380736,9.56948795840386,8.20035658121342e-08,1.16385269186493e-07,FALSE
"hsa-miR-6749-3p",0.112868768804241,8.56185532635906,9.556324157543e-08,1.35277835476907e-07,FALSE
"hsa-miR-2110",0.131093030514085,8.51169394581641,9.72307550213546e-08,1.37281765509426e-07,FALSE
"hsa-miR-30c-1-3p",-0.126790122695219,8.588100150582,1.17323965355484e-07,1.65223672141444e-07,FALSE
"hsa-miR-6877-5p",0.148135803604629,9.1941360476654,1.53798308223069e-07,2.16031128818486e-07,FALSE
"hsa-miR-1976",-0.130770836649075,8.42793520270664,1.55985225567536e-07,2.18539711913385e-07,FALSE
"hsa-miR-4459",-0.278695558294275,10.830202861475,2.52496747358319e-07,3.52848018744318e-07,FALSE
"hsa-miR-6845-3p",-0.131579357508055,8.582213402341,2.66108552184171e-07,3.70918570179983e-07,FALSE
"hsa-miR-6721-5p",-0.19321981528836,9.39970425262406,2.77868356350633e-07,3.8632207706912e-07,FALSE
"hsa-miR-3154",0.108322573232358,8.94743957414854,2.85431585273936e-07,3.95827516474033e-07,FALSE
"hsa-miR-6784-5p",-0.473374341423565,12.8874091442193,2.98229416267676e-07,4.12525461588536e-07,FALSE
"hsa-miR-4697-5p",-0.168213984510546,9.97662559838437,3.00613784825436e-07,4.1477091830345e-07,FALSE
"hsa-miR-6511a-5p",-0.146003566844211,9.38298183400964,3.6597497220052e-07,5.0367767638708e-07,FALSE
"hsa-miR-92b-5p",0.289812857798446,9.88445265001017,3.94280697891365e-07,5.4126695302467e-07,FALSE
"hsa-miR-1908-3p",-0.1713001109385,8.42100954838515,5.77317246447134e-07,7.90547485712784e-07,FALSE
"hsa-miR-6858-5p",0.145509444964972,10.3481820632627,6.27887498710903e-07,8.57640819041208e-07,FALSE
"hsa-miR-1236-5p",-0.134491350537432,8.54650387161461,6.92058171870245e-07,9.42929259173209e-07,FALSE
"hsa-miR-7110-5p",-0.210105855716087,9.09454613028379,7.37354444057709e-07,1.00214007982906e-06,FALSE
"hsa-miR-6763-5p",-0.148387319498825,9.38916976506588,8.39636659907082e-07,1.13831338221234e-06,FALSE
"hsa-miR-1273f",0.124994358303059,8.61151931010872,8.6467779790153e-07,1.16935334951944e-06,FALSE
"hsa-miR-484",-0.114947015909645,8.60302550103601,1.36225641603099e-06,1.83769739291309e-06,FALSE
"hsa-miR-7111-3p",0.0946987387227907,8.5988325822855,1.52663414195713e-06,2.05435952436206e-06,FALSE
"hsa-miR-636",-0.121495292594972,8.52867814633492,1.72303386336622e-06,2.3129395456517e-06,FALSE
"hsa-miR-6730-3p",-0.127518299517811,8.41153239813013,1.80511632248616e-06,2.41717050554043e-06,FALSE
"hsa-miR-4640-5p",-0.147601255723308,9.79668125623428,1.86703614915646e-06,2.49395760120164e-06,FALSE
"hsa-miR-6807-5p",-0.112706759504005,8.68553879757574,2.08879130339136e-06,2.783352714788e-06,FALSE
"hsa-miR-583",0.0982096061441649,8.47118125916801,2.18196123362714e-06,2.90041188372388e-06,FALSE
"hsa-miR-346",-0.121024895916952,8.30939732102558,3.45865608856246e-06,4.5862957865366e-06,FALSE
"hsa-miR-3151-3p",0.108889180713154,8.51755203554599,3.97803319319434e-06,5.26220410264786e-06,FALSE
"hsa-miR-3195",-0.15796915358118,10.0061640231046,4.03106447626754e-06,5.31944343720535e-06,FALSE
"hsa-miR-1915-5p",0.112058584568808,8.34308059173506,9.53288163271207e-06,1.25493248546572e-05,FALSE
"hsa-miR-6812-5p",0.120530552844354,8.47753399965019,1.32789895932804e-05,1.74386730803321e-05,FALSE
"hsa-miR-5008-5p",0.12817155203743,8.62192152623571,1.44762672596476e-05,1.89653020589134e-05,FALSE
"hsa-miR-4462",-0.107160056302992,8.50346126131981,1.46914677415912e-05,1.9201078942847e-05,FALSE
"hsa-miR-4731-5p",0.106093131683446,8.75994178834291,2.09171039124355e-05,2.72723005556874e-05,FALSE
"hsa-miR-4497",-0.251987663913093,13.7559765348313,3.61766670695177e-05,4.70555693386327e-05,FALSE
"hsa-miR-6813-3p",-0.109512953294124,8.42941717724647,3.71031573676347e-05,4.81457637270497e-05,FALSE
"hsa-miR-3621",-0.28677780643613,12.2971665870961,3.88024670705681e-05,5.02312222172438e-05,FALSE
"hsa-miR-6802-3p",0.100423085840916,8.27685144353344,4.40220834578583e-05,5.6853164655291e-05,FALSE
"hsa-miR-6780b-5p",-0.219762739992646,11.2575441641875,4.56185975502806e-05,5.87757344323947e-05,FALSE
"hsa-miR-23a-5p",0.0757574134794533,8.58529415596701,5.70043127845605e-05,7.32720529895883e-05,FALSE
"hsa-miR-6846-5p",-0.092705115377133,8.68638287013979,5.94247097334257e-05,7.62034513052165e-05,FALSE
"hsa-miR-198",-0.102404951232877,8.38766393772418,8.37823982775363e-05,0.000107186401552247,FALSE
"hsa-miR-6722-5p",0.0957556392227517,8.42423483139599,0.000144955439393243,0.000185013382832126,FALSE
"hsa-miR-3663-3p",0.171425735915544,13.2081017865297,0.0001774165436087,0.000225915925856873,FALSE
