mirna,mean_cancer,mean_healthy,log2FC,se,t_stat,df_welch,p_value,rank,fdr_bh,significant
hsa-miR-4487,3.2358,4.6845,-1.4487,0.03974,-36.4557,2216.2,2.2509119670515963e-228,144,8.519076541966111e-228,True
hsa-miR-6846-5p,3.6949,5.1186,-1.4237,0.039455,-36.085,2365.3,1.4915703952096882e-227,145,5.606247347512277e-227,True
hsa-miR-6810-5p,3.5769,4.8369,-1.26,0.034852,-36.1514,2309.1,3.5209107531874714e-227,146,1.3143125756761451e-226,True
hsa-miR-5193,3.0251,4.6191,-1.5941,0.044085,-36.159,2303.7,3.7511046482081266e-227,147,1.3907156688934892e-226,True
hsa-miR-4298,3.7091,5.2768,-1.5677,0.044248,-35.4293,2725.7,1.720236528341021e-226,148,6.334654783417949e-226,True
hsa-miR-6813-3p,3.4042,4.7928,-1.3886,0.039081,-35.5307,2623.1,4.3489110285328274e-226,149,1.5907090674834838e-225,True
hsa-miR-6716-5p,3.8943,5.4114,-1.5171,0.043038,-35.2493,2787.1,2.0495193933603588e-225,150,7.446587129209304e-225,True
hsa-miR-6861-3p,3.5308,4.8603,-1.3295,0.037493,-35.4584,2622.5,2.518500759773562e-225,151,9.08995307335491e-225,True
hsa-miR-877-3p,3.5821,4.8379,-1.2559,0.035559,-35.3171,2669.1,1.6023597949378783e-224,152,5.745303212112787e-224,True
hsa-miR-6515-3p,4.1789,5.5892,-1.4103,0.039454,-35.7451,2321.1,2.5079497336250947e-223,153,8.933546436769128e-223,True
hsa-miR-6732-5p,4.8079,6.6447,-1.8369,0.053402,-34.3971,3439.2,4.185372361562502e-223,154,1.481186972111405e-222,True
hsa-miR-4419a,3.5745,4.908,-1.3335,0.037349,-35.7045,2329.1,4.586688655463364e-223,155,1.6127389143403443e-222,True
hsa-miR-371b-5p,3.2351,4.7819,-1.5468,0.042646,-36.271,2004.8,6.423662016340111e-222,156,2.2441639736572826e-221,True
hsa-miR-1225-3p,4.1112,5.2793,-1.1681,0.033276,-35.1049,2638.1,7.181253488177646e-222,157,2.492855510227272e-221,True
hsa-miR-6858-3p,3.5249,4.8172,-1.2923,0.035967,-35.9295,2147.5,8.795721282158291e-222,158,3.0339671511242207e-221,True
hsa-miR-1228-3p,3.4647,5.1524,-1.6877,0.047507,-35.5253,2349.4,1.2587474206441606e-221,159,4.3145744921450785e-221,True
hsa-miR-6831-5p,3.1369,4.6768,-1.5399,0.043851,-35.1157,2577.3,4.16151727636056e-221,160,1.4175168222603158e-220,True
hsa-miR-1915-3p,4.6211,7.6714,-3.0503,0.087881,-34.7096,2841.3,2.2254730526750166e-220,161,7.533433625514807e-220,True
hsa-miR-6726-3p,3.1028,4.6665,-1.5637,0.043876,-35.6386,2216.0,2.666230607471043e-220,162,8.969726426368633e-220,True
hsa-miR-3713,3.4018,4.6695,-1.2677,0.035939,-35.2747,2411.0,3.791281005229529e-220,163,1.2676369005215296e-219,True
hsa-miR-4688,4.3299,5.8447,-1.5148,0.042966,-35.2555,2359.9,4.228057599392511e-219,164,1.4050557266273894e-218,True
hsa-miR-6804-3p,3.4714,4.7723,-1.3008,0.037599,-34.597,2830.5,4.6692938668505075e-219,165,1.5422819135960768e-218,True
hsa-miR-4462,3.4513,4.9041,-1.4529,0.041038,-35.4023,2260.3,8.396571574967572e-219,166,2.7567057279261003e-218,True
hsa-miR-7114-5p,4.3914,6.0404,-1.649,0.048482,-34.0127,3403.9,1.5232591399799496e-218,167,4.971115157419596e-218,True
hsa-miR-4648,3.4072,4.9018,-1.4946,0.042508,-35.1606,2378.5,1.8503851311740676e-218,168,6.00273747910635e-218,True
hsa-miR-6893-3p,3.6852,4.8462,-1.161,0.033299,-34.867,2560.4,2.668704389147161e-218,169,8.606176876243804e-218,True
hsa-miR-4667-5p,3.8386,5.2911,-1.4525,0.042518,-34.1613,3163.9,5.357745902688187e-218,170,1.7176303040970952e-217,True
hsa-miR-3187-3p,3.5487,4.8509,-1.3022,0.037928,-34.3336,2944.2,1.41508500692855e-217,171,4.510066250152396e-217,True
hsa-miR-1229-5p,4.7964,6.3731,-1.5767,0.04623,-34.1045,3161.6,2.3313313551424388e-217,172,7.387067375305983e-217,True
hsa-miR-4281,5.3911,8.798,-3.4069,0.098484,-34.5929,2694.5,2.6180605209432148e-217,173,8.247647305861572e-217,True
hsa-miR-5006-5p,3.3298,4.7088,-1.379,0.039408,-34.9929,2378.7,8.901164300679678e-217,174,2.788008358546221e-216,True
hsa-miR-1343-5p,4.9317,7.6769,-2.7452,0.080079,-34.2814,2863.7,4.1028358742562644e-216,175,1.2777403151255222e-215,True
hsa-miR-4665-3p,3.5271,4.8871,-1.36,0.038515,-35.3115,2157.8,5.711128057463773e-216,176,1.7685027223396342e-215,True
hsa-miR-6827-5p,3.1985,4.6253,-1.4268,0.040603,-35.1395,2240.1,7.725491345173201e-216,177,2.3787529848132174e-215,True
hsa-miR-365a-5p,4.1551,5.517,-1.3619,0.039255,-34.6937,2492.1,1.586174456784409e-215,178,4.856545387345522e-215,True
hsa-miR-6815-5p,3.3704,4.6917,-1.3213,0.037841,-34.9177,2282.5,2.1052470768560296e-214,179,6.409830485399643e-214,True
hsa-miR-3151-3p,3.7282,4.8718,-1.1436,0.033205,-34.4407,2567.9,4.93512120834498e-214,180,1.4942450325266748e-213,True
hsa-miR-532-3p,3.5393,4.7983,-1.259,0.036843,-34.1726,2691.6,6.636367939855737e-213,181,1.9982433852051807e-212,True
