mirna,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
hsa-miR-5090,46.55937789156007,-0.9588456285172374,0.03216419039461757,-29.810967313440997,2.8162810675490584e-195,5.292666144187023e-194,True
hsa-miR-6805-5p,365.0738634623509,-1.6853787602338062,0.05659602567168378,-29.779100921516434,7.285926444654665e-195,1.323609970778931e-193,True
hsa-miR-1343-5p,192.85808001075014,-1.4404142678536718,0.04876877702020821,-29.53558313051013,1.0059045375134266e-191,1.7684450740155404e-190,True
hsa-miR-1915-3p,237.30329148983438,-1.6848158116291687,0.057530012114579164,-29.285858801378648,1.570157474386669e-188,2.6741744485647953e-187,True
hsa-miR-4486,60.087601146165305,-0.7473279252112133,0.025855287615092905,-28.904258824603602,1.0554943410302604e-183,1.7431648965499755e-182,True
hsa-miR-711,89.53101070558932,-0.9341455771735409,0.03270649105361945,-28.561473489836935,2.023392360520939e-179,3.243378930835035e-178,True
hsa-miR-3194-3p,25.200257025636404,0.9929180194510056,0.03477709696623492,28.550917300976263,2.7362512960788184e-179,4.2607341610370173e-178,True
hsa-miR-6729-5p,1239.7038930332262,-1.5958696600608968,0.055944509313880154,-28.525938999789428,5.5862231373052056e-179,8.456921138420381e-178,True
hsa-miR-6805-3p,53.0772476833451,-0.8063393805130145,0.028296316552097602,-28.496266608709558,1.3031039837103758e-178,1.9194369489787969e-177,True
hsa-miR-1913,33.15751813723116,-0.6304254561518516,0.022281506950472086,-28.29366333045506,4.135505308211297e-176,5.931185244671466e-175,True
hsa-miR-1233-5p,524.6155953768917,1.3107427799263633,0.046821259266427315,27.994607587716413,1.88991864876274e-172,2.641040163014598e-171,True
hsa-miR-3648,951.530949010039,-1.434873960325538,0.05128301942215476,-27.979514008601033,2.884918467744078e-172,3.9307014123013064e-171,True
hsa-miR-150-3p,23.131636506393768,-0.8741896354860507,0.03150584423518256,-27.746904001697676,1.8990040460544068e-169,2.5242858660967118e-168,True
hsa-miR-4467,342.9099373447606,-0.868316538709972,0.03187774108557025,-27.23896076510338,2.2458755071278215e-163,2.9142908366301493e-162,True
hsa-miR-3141,65.18479908055333,-0.7377030584876838,0.02712294912170478,-27.198482553556346,6.768934965807126e-163,8.579231526429961e-162,True
hsa-miR-7975,48.88991498062805,0.8373630761674824,0.030863558568253072,27.131125346926527,4.2290478785590667e-162,5.238252485942481e-161,True
hsa-miR-1909-3p,109.31185855806548,-0.8054865939704712,0.03009260834255889,-26.766925113344215,7.845620223121593e-158,9.501917825780595e-157,True
hsa-miR-6890-5p,21.32118037229528,0.5164956350994058,0.01956366343751216,26.400762656193326,1.3428187551367586e-153,1.590948307716377e-152,True
hsa-miR-1254,29.67420856148233,-0.5852689161108793,0.022550305071528724,-25.953924536915494,1.6419771034760823e-148,1.903994726371202e-147,True
hsa-miR-8069,938.9977434087166,-1.5481730481557516,0.060016314347236546,-25.79587008956403,9.865549930190739e-147,1.1201509816570734e-145,True
hsa-miR-4419b,29.421540193440617,0.5581666702504292,0.022129559602218254,25.22267411930235,2.2595545706092473e-140,2.5131780428204895e-139,True
hsa-miR-4787-5p,2061.7924805863213,-1.1584735371628425,0.04601122764061109,-25.17806188984043,6.966946733501036e-140,7.593971939516129e-139,True
hsa-miR-4454,100.03463055167047,1.5630996863041058,0.0622602894724903,25.105885301011348,4.2892659825789715e-139,4.583627373540273e-138,True
hsa-miR-8072,1493.024928374229,-1.247577452891893,0.04974830268667955,-25.077789301662758,8.690339973550568e-139,9.108144779971268e-138,True
hsa-miR-658,23.08973793599677,0.737324214426707,0.02942309558742624,25.059369169224926,1.3800586345057122e-138,1.41911689774644e-137,True
hsa-miR-1185-2-3p,48.84136486658447,0.841155777827141,0.03376309434184997,24.913468218003732,5.316971199444173e-137,5.366202414253842e-136,True
hsa-miR-637,24.649846266981328,0.4693852571035001,0.01891404753084437,24.816753597454113,5.912185652234207e-136,5.858438509941168e-135,False
hsa-miR-4707-3p,39.514422550458775,-0.6121301628029818,0.024700129025574766,-24.782468227966582,1.3855156112994765e-135,1.348403585996812e-134,True
hsa-miR-6850-5p,492.9843764346902,-1.1641223854126737,0.04740212483908475,-24.55844309436553,3.514001656542052e-133,3.359878776869155e-132,True
hsa-miR-3652,26.702790194902974,-0.5287179452530227,0.021991455919066774,-24.041970990861948,1.0128895284032446e-127,9.517668844478764e-127,True
hsa-miR-3131,45.446347104268426,-0.6913216046610744,0.029028083906834968,-23.815612731445064,2.3014598252402616e-125,2.1259247538236312e-124,True
